date,total_valid,CA_wildfire,rescue,CA_based,Other_loc
8-Nov-18,1725607,762,106,514,248
9-Nov-18,1614183,1726,228,1021,705
10-Nov-18,1545416,1898,203,1009,889
11-Nov-18,1827245,1230,230,651,579
12-Nov-18,1686033,1329,247,639,690
13-Nov-18,1589693,989,119,474,515
14-Nov-18,1626841,867,104,471,396
15-Nov-18,1872517,854,84,531,323
16-Nov-18,1538728,799,77,525,274
17-Nov-18,1506422,840,74,459,381
18-Nov-18,1523802,609,59,290,319
19-Nov-18,1633166,513,43,230,283
20-Nov-18,1530449,316,32,143,173
21-Nov-18,1655394,472,66,243,229
22-Nov-18,1661929,141,18,59,82
23-Nov-18,1596993,150,20,81,69
24-Nov-18,1559684,122,11,53,69
25-Nov-18,1555086,177,25,75,102
26-Nov-18,1656534,151,18,54,97
27-Nov-18,1695782,221,39,93,128
28-Nov-18,1579574,176,12,63,113
29-Nov-18,1674600,225,20,126,99
30-Nov-18,1593781,128,26,35,93
